TODO,AMIS,Clave Cot.,Marca y Descripción,Modelos,Tipo,Ocup,Equipamiento,Descripción Detallada
FORD LINCOLN TOWN CAR 2 Ptas|3 Ptas|4 Ptas| FORD LINCOLN TOWN CAR|SIGNATURE|8 PULG.|CARTIER V/P|CARTIER T4C|,366,0036601,FORD LINCOLN TOWN CAR,2007,Auto,5,4 Ptas| Autom.| V8|C / A AC|,FORD LINCOLN TOWN CAR|SIGNATURE|8 PULG.|CARTIER V/P|CARTIER T4C|
FORD MUSTANG GT TIPICO STD 2 Ptas|3 Ptas|4 Ptas| FORD MUSTANG GT|TM SEMIEQUIPADO|COUPE DELUXE MB6|BASE MAI|4.0L|GT 2-DR COUPE|TIPICO|COUPE PREMIUM|GT 2-DR COUPE PREMIUM|,379,0037901,FORD MUSTANG GT TIPICO STD,2008 2007,Auto,5,Autom.|Std| V6|,FORD MUSTANG GT|TM SEMIEQUIPADO|COUPE DELUXE MB6|BASE MAI|4.0L|GT 2-DR COUPE|TIPICO|COUPE PREMIUM|GT 2-DR COUPE PREMIUM|
FORD MUSTANG GT TIPICO AUT 2 Ptas|3 Ptas|4 Ptas| FORD MUSTANG GT|TIPICO|COUPE|,380,0038001,FORD MUSTANG GT TIPICO AUT,2007,Auto,5,Autom.|,FORD MUSTANG GT|TIPICO|COUPE|
FORD MUSTANG GT LUJO AUT 2 Ptas|3 Ptas|4 Ptas| FORD MUSTANG GT LUJO|COUDE B/A|MA3 VIP|TA MA3|V/P|EQUIPADO|SALLEN S28 SUPERCHARGED|TM MB5|,381,0038101,FORD MUSTANG GT LUJO AUT,2008 2007,Auto,5,2 Ptas| Autom.| C / A AC| C / Equipo|,FORD MUSTANG GT LUJO|COUDE B/A|MA3 VIP|TA MA3|V/P|EQUIPADO|SALLEN S28 SUPERCHARGED|TM MB5|
FORD MUSTANG GT LUJO AUT CONVERTIBLE 2 Ptas|3 Ptas|4 Ptas| FORD MUSTANG|GT LUJO CONVERTIBLE|MB5|,382,0038201,FORD MUSTANG GT LUJO AUT CONVERTIBLE,2007,Auto,5,Autom.|Std| C / A AC|,FORD MUSTANG|GT LUJO CONVERTIBLE|MB5|
FORD LINCOLN MARK VIII 2 Ptas|3 Ptas|4 Ptas| FORD LINCOLN MARK VIII|,383,0038301,FORD LINCOLN MARK VIII,2007,Auto,5,,FORD LINCOLN MARK VIII|
FORD EDGE SEL PLUS AUT 5P 4CIL 2 Ptas|3 Ptas|4 Ptas| FORD EDGE SEL PLUS AUT 5P 4CIL,395,0039501,FORD EDGE SEL PLUS AUT 5P 4CIL,2018,Auto,5,,FORD EDGE SEL PLUS AUT 5P 4CIL
FORD CORSAIR 2.0 AUT 5P 4CIL 2 Ptas|3 Ptas|4 Ptas| V6| FORD ,396,0039601,FORD CORSAIR 2.0 AUT 5P 4CIL,2024 2023 2021,Auto,5,,FORD 
FORD E PACE R-DYNAMIC S P200 AUT 2L 4CIL 4X4 5P 2 Ptas|3 Ptas|4 Ptas| Std|4 Vel.| 4 Cil| FORD MYSTIQUE|LS V/P Q/CC|(R4A)|V/P C.D.B/A|,397,0039701,FORD E PACE R-DYNAMIC S P200 AUT 2L 4CIL 4X4 5P,2020,Auto,5,,FORD MYSTIQUE|LS V/P Q/CC|(R4A)|V/P C.D.B/A|
FORD F PACE CHEQUERED FLAG PS250 AUT 2L 4CIL 4X4 5P QC 2 Ptas|3 Ptas|4 Ptas| 6 Cil.| FORD ,398,0039801,FORD F PACE CHEQUERED FLAG PS250 AUT 2L 4CIL 4X4 5P QC,2020,Auto,5,,FORD 
FORD F PACE PRESTIGE P250 AUT 2L 4CIL 4X4 5P 2 Ptas|3 Ptas|4 Ptas| 6 Cil.| FORD ,399,0039901,FORD F PACE PRESTIGE P250 AUT 2L 4CIL 4X4 5P,2020,Auto,5,,FORD 
RENAULT SCENIC STD MT 2 Ptas|3 Ptas|4 Ptas| 6 Cil.| RENAULT SCENIC|AUTHENTIQUE|EXPRESSION|V/T|EXPRESSION V/T|,539,0053901,RENAULT SCENIC STD MT,2007,Auto,5,Std|,RENAULT SCENIC|AUTHENTIQUE|EXPRESSION|V/T|EXPRESSION V/T|
RENAULT SCENIC AUT AT 2 Ptas|3 Ptas|4 Ptas| RENAULT SCENIC AT|EXPRESSION|V/T|AUTHENTIQUE|,540,0054001,RENAULT SCENIC AUT AT,2007,Auto,5,Autom.|,RENAULT SCENIC AT|EXPRESSION|V/T|AUTHENTIQUE|
RENAULT SCENIC STD MT V/P 2 Ptas|3 Ptas|4 Ptas| RENAULT SCENIC MT|V/P|EXPRESSION V/PIEL|,541,0054101,RENAULT SCENIC STD MT V/P,2007,Auto,5,Std|,RENAULT SCENIC MT|V/P|EXPRESSION V/PIEL|
RENAULT SCENIC AUT AT V/P 2 Ptas|3 Ptas|4 Ptas| RENAULT SCENIC AT|V/P|EXPRESSION V/P|EXPRESSION|,542,0054201,RENAULT SCENIC AUT AT V/P,2007,Auto,5,Autom.|Std|,RENAULT SCENIC AT|V/P|EXPRESSION V/P|EXPRESSION|
